target,train_positive_rows,test_positive_rows,min_positive,test_base_rate,best_orbit_feature,best_orbit_lift,best_orbit_null_lift_max,best_non_orbit_feature,best_non_orbit_lift,orbit_specific_margin,exact_reduction_lift,exact_reduction_available,verdict,hash
gcd_X_F_gt_1,3913,15642,10,0.39105,qa_orbit_id24,2.5572177470911646,1.0,be_pair24,2.5572177470911646,0.0,2.5572177470911646,True,EXACT_REDUCTION_AVAILABLE,97b521b1300ed8c5eabcf5675e1d53c2c9e65b8baba3739c1d5059cb363d6dbc
gcd_DplusF_XplusF_gt1,3913,15642,10,0.39105,qa_orbit_id24,2.5572177470911646,1.0,be_pair24,2.5572177470911646,0.0,,False,NON_ORBIT_BASELINE_COMPETITIVE,e8e7b66b32603989ede08624728020e1df284cee66ffcaf8ca79db6c7e50e26f
gcd_X_F_eq_1,6087,24358,10,0.60895,qa_orbit_id24,1.4999812502343721,1.001602564102564,be_pair24,1.4999812502343721,0.0,1.6421709499958945,True,EXACT_REDUCTION_AVAILABLE,ccbb11e07c04523da3db3bf858ebf86b3b9c047ded3f59c7bb7bd52d47a80977
omega_XF_diff_ge2,6382,26764,10,0.6691,qa_orbit_family24,1.0002927415893528,1.0,factor_signature,1.2416753080813279,-0.2413825664919751,,False,NON_ORBIT_BASELINE_COMPETITIVE,96a72a455c009c709b2d4fdd6f5bf07635e97aafd6612abb2f84de556a3d4c67
gcd_F_G_eq1,4047,16248,10,0.4062,qa_orbit_id24,1.499981250234372,1.0142244985927635,factor_signature,2.426873451961705,-0.9268922017273331,,False,NON_ORBIT_BASELINE_COMPETITIVE,ee32ccff6274f7625c31d8dc2a402b22f7364107edef5520d3c9de9788f5b16f
squarefree_X_xor_F,3861,15138,10,0.37845,qa_orbit_id24,1.499981250234372,1.0105348255564257,factor_signature,2.642356982428326,-1.1423757321939543,,False,NON_ORBIT_BASELINE_COMPETITIVE,9f25d31fc7d42a50d93b6e3b4ce8fb75e36f9bcbd3ddda8f60526e1617213284
DplusF_semiprime_xor_XplusF_semiprime,3053,12042,10,0.30105,qa_orbit_id24,1.4999812502343721,1.017967119662035,factor_signature,3.321707357581797,-1.821726107347425,,False,NON_ORBIT_BASELINE_COMPETITIVE,dceb51a713cd56f144b216c1a9e84d33f347084648846f985609abb7bbc5c217
DplusF_squarefree_xor_XplusF_squarefree,467,1954,10,0.04885,qa_orbit_id24,1.483570373893313,1.4528161416141394,factor_signature,3.368617441664615,-1.885047067771302,,False,NON_ORBIT_BASELINE_COMPETITIVE,985fa376aac889737cb4571ad4d4ccb6efab4faccb1114623676f9e01f0343b2
omega_DplusF_eq_XplusF,3734,13419,10,0.335475,qa_orbit_family9,1.0,1.0,factor_signature,2.9273348396005128,-1.9273348396005128,,False,ORBIT_NULL_COMPETITIVE,3e4204c20342aaccb09553f7e97f155293f6c91c031e0c39c39972e024bf9463
omega_DplusF_XplusF_diff_ge2,1314,7638,10,0.19095,qa_orbit_id24,1.0614008733333848,1.0315133662880562,factor_signature,5.236973029588897,-4.175572156255512,,False,NON_ORBIT_BASELINE_COMPETITIVE,66759b2bd1d004c2f0b7bb52506bab14012f4e508666449f23b5a7ca9b58f8dd
omega_X_eq_omega_F,1255,4586,10,0.11465,qa_orbit_id24,1.1436920267909576,1.047171992388009,factor_signature,8.485368037647238,-7.34167601085628,,False,NON_ORBIT_BASELINE_COMPETITIVE,e63659e296f7747e56fbbad22ee8ec6fb493c9e5337e9c33be1f4ccba02b8833
semiprime_X_xor_F,1533,3481,10,0.087025,qa_orbit_id24,1.4999812502343721,1.113678759361862,factor_signature,11.490950876185003,-9.990969625950632,,False,NON_ORBIT_BASELINE_COMPETITIVE,0ef70db6db33b25a9f76cda444342be9c979b8d41963521ac08ac6abfd523ad9
directrix_kernel3_nontrivial,767,778,10,0.01945,qa_orbit_family24,10.035989717223652,1.0,factor_signature,25.84097080560031,-15.804981088376659,51.41388174807199,True,EXACT_REDUCTION_AVAILABLE,6fba906e76e34069ecfee394cfe0fac3d15bd57dc228b888ae86704304ba3c1f
directrix_distance_integer,867,778,10,0.01945,qa_orbit_id24,4.370179948586119,1.4035358820896455,factor_signature,25.60286419033544,-21.23268424174932,51.41388174807199,True,EXACT_REDUCTION_AVAILABLE,449e23b6af242c01c8ef1460db5bde47f571335c2f911d19be1f56d0aa627ba5
