target,train_positive_rows,train_negative_rows,test_positive_rows,test_negative_rows,min_positive,test_base_rate,best_ordered_path_feature,best_ordered_path_lift,best_ordered_path_null_lift_max,best_control_feature,best_control_kind,best_control_lift,ordered_path_margin,verdict,hash
path_count_F_squarefree_ge_half,2796,7204,11039,28961,10,0.275975,ordered_path9_24,2.1206680417081905,1.0487663091127797,shuffled_path9_24,shuffled_path_control,2.1206680417081905,0.0,CONTROL_BASELINE_COMPETITIVE,d83691becd5643c693b8f494918990ae479aa2be6b269b4c54a37b746279f437
path_X_omega_range_ge3,10000,0,40000,0,10,1.0,,0.0,0.0,,,0.0,0.0,DEGENERATE_OR_LOW_TRAIN_SUPPORT,8388d3905c2e902cc30b8cc0cd8f2519c88fe8f655a43129b3bb699488992c6c
path_F_omega_range_ge3,10000,0,40000,0,10,1.0,,0.0,0.0,,,0.0,0.0,DEGENERATE_OR_LOW_TRAIN_SUPPORT,7981c2b4c483bf97ba944ca081ba6c9d266172ca32dc58ed83aadb87e90f72bf
path_contains_G_square_and_h_integer,0,10000,0,40000,10,0.0,,0.0,0.0,,,0.0,0.0,DEGENERATE_OR_LOW_TRAIN_SUPPORT,933a266c507057c3edfb67d000ed329b8e06bf0bc4a89eedb209af9967777c47
path_X_squarefree_flip_count_ge2,6087,3913,24358,15642,10,0.60895,ordered_path24,1.4999812502343721,1.012951278494155,path_factor_signature,factor_control,1.6421709499958945,-0.1421896997615224,CONTROL_BASELINE_COMPETITIVE,62882c6ec3b43b69d09540680219dd685ca7cec61f788e76df7dee673ddcedac
path_F_squarefree_flip_count_ge2,6087,3913,24358,15642,10,0.60895,ordered_path24,1.4999812502343721,1.0164214825912212,path_factor_signature,factor_control,1.6421709499958945,-0.1421896997615224,CONTROL_BASELINE_COMPETITIVE,7f81b9bd5e20346aee74096e7e0b9e293283a76f6edad693b3a3258e0658b65f
path_any_F_semiprime,4406,5594,13800,26200,10,0.345,ordered_path24,1.5033672919693737,1.029068351103751,path_factor_signature,factor_control,2.8985507246376816,-1.395183432668308,CONTROL_BASELINE_COMPETITIVE,7b64c737febc4470dbf84e619900b35d934291f502e8891dc41b7fc76cbe644b
path_any_X_semiprime,3093,6907,8922,31078,10,0.22305,ordered_path24,1.5684901018173962,1.058286319682028,path_factor_signature,factor_control,4.483299708585519,-2.914809606768123,CONTROL_BASELINE_COMPETITIVE,94cf23193da0579505d5b7d9250c802c93c0ff7f251aff17bd655f385c7177ca
path_count_X_semiprime_ge2,659,9341,1227,38773,10,0.030675,ordered_path24,1.9968729442325965,1.105430522439419,path_factor_signature,factor_control,32.59983700081499,-30.602964056582397,CONTROL_BASELINE_COMPETITIVE,e84fda510db3d0fe272e2c6f4eb559d7ee5fb5c6c0853edb3038bfb8412a8744
path_any_h_integer,489,9511,599,39401,10,0.014975,ordered_path9_24,7.868331444462372,1.2667906311784318,current_factor_signature,factor_control,66.7779632721202,-58.90963182765783,CONTROL_BASELINE_COMPETITIVE,82aa9e8948272e8fd57894e250ff8e22cda699dde449b5df9cb50f87aa273f75
path_any_G_square,316,9684,302,39698,10,0.00755,path_family_sequence24,4.874172185430464,1.0,path_factor_signature,factor_control,132.4503311258278,-127.57615894039733,CONTROL_BASELINE_COMPETITIVE,c9d89a57640c8b55b5d164dce864651ef078df721f7bfb991c1c9a15f4301a98
path_any_DplusF_square,265,9735,253,39747,10,0.006325,path_family_sequence24,5.312252964426877,1.0,path_factor_signature,factor_control,158.10276679841897,-152.7905138339921,CONTROL_BASELINE_COMPETITIVE,502090e654fa7d1b19817cd15074a9dde4eceeddde042a0395227de8f058934b
